Challenge4,,
,,
ItemID,Description,Value
796524,InvoiceID,71301
796525,InvoiceID,71301
796526,InvoiceID,71301
796824,InvoiceID,71372
796825,InvoiceID,71372
796826,InvoiceID,71372
796827,InvoiceID,71372
797958,InvoiceID,71640
797959,InvoiceID,71640
799310,InvoiceID,71969
799311,InvoiceID,71969
799312,InvoiceID,71969
799501,InvoiceID,72005
799502,InvoiceID,72005
799503,InvoiceID,72005
799504,InvoiceID,72O05
800219,InvoiceID,72169
800220,InvoiceID,72169
800221,InvoiceID,72169
800222,InvoiceID,72169
800223,InvoiceID,72169
800750,InvoiceID,72297
800751,InvoiceID,72297
800752,InvoiceID,72297
800753,InvoiceID,72297
800754,InvoiceID,72297
801295,InvoiceID,72431
801296,InvoiceID,72431
801297,InvoiceID,72431
792584,InvoiceID,70339
792585,InvoiceID,70339
792610,InvoiceID,70346
792611,InvoiceID,70346
792612,InvoiceID,70346
792668,InvoiceID,70362
792669,InvoiceID,70362
792670,InvoiceID,70362
792671,InvoiceID,70363
792672,InvoiceID,70363
792673,InvoiceID,70363
792765,InvoiceID,70385
792766,InvoiceID,70385
792767,InvoiceID,70385
792768,InvoiceID,70385
792769,InvoiceID,70385
792790,InvoiceID,70391
792791,InvoiceID,70391
792792,InvoiceID,70391
792793,InvoiceID,70391
792794,InvoiceID,70391
792795,InvoiceID,70391
792908,InvoiceID,70419
793054,InvoiceID,70463
793055,InvoiceID,704 63
793056,InvoiceID,70463
793173,InvoiceID,70496
793174,InvoiceID,70496
793175,InvoiceID,70496
793176,InvoiceID,70496
793177,InvoiceID,70496
793369,InvoiceID,70552
793370,InvoiceID,70552
793371,InvoiceID,70552
793371,InvoiceID,70552
793372,InvoiceID,70552
793571,InvoiceID,7060A
793572,InvoiceID,7060A
793573,InvoiceID,70604
793574,InvoiceID,70604
793699,InvoiceID,70629
793700,InvoiceID,70629
793701,InvoiceID,70629
793702,InvoiceID,70629
793703,InvoiceID,70629
793858,InvoiceID,70659
793859,InvoiceID,70659
793860,InvoiceID,70659
793861,InvoiceID,70659
793862,InvoiceID,70660
793863,InvoiceID,70660
793864,InvoiceID,70660
793865,InvoiceID,70660
793866,InvoiceID,70661
793867,InvoiceID,70661
793868,InvoiceID,70661
793869,InvoiceID,70661
796398,InvoiceID,71271
796399,InvoiceID,71271
796684,InvoiceID,71338
796685,InvoiceID,71338
796686,InvoiceID,71338
796687,InvoiceID,71338
797358,InvoiceID,71501
797359,InvoiceID,71501
797661,InvoiceID,71568
797951,InvoiceID,71639
797952,InvoiceID,71639
797953,InvoiceID,71639
797954,InvoiceID,71639
797955,InvoiceID,71639
797956,InvoiceID,71639
797957,InvoiceID,71639
798095,InvoiceID,71674
798096,InvoiceID,71674
798334,InvoiceID,71731
798335,InvoiceID,71731
798336,InvoiceID,71731
798337,InvoiceID,71731
798338,InvoiceID,71731
798339,InvoiceID,71731
798340,InvoiceID,71731
798341,InvoiceID,71731
798342,InvoiceID,71731
798497,InvoiceID,71771
798498,InvoiceID,71771
798499,InvoiceID,71771
798500,InvoiceID,71771
798501,InvoiceID,71771
798510,InvoiceID,71774
798511,InvoiceID,71774
798789,InvoiceID,71845
798790,InvoiceID,71845
798791,InvoiceID,71845
798792,InvoiceID,71845
799106,InvoiceID,71927
799107,InvoiceID,71927
800958,InvoiceID,72347
800959,InvoiceID,72347
800960,InvoiceID,72347
800961,InvoiceID,72347
800962,InvoiceID,72347
800963,InvoiceID,72347
800964,InvoiceID,72348
800965,InvoiceID,72348
800966,InvoiceID,72348
800967,InvoiceID,72348
801093,InvoiceID,72385
801094,InvoiceID,72385
801095,InvoiceID,72385
801096,InvoiceID,72385
801097,InvoiceID,72385
792627,InvoiceID,70351
792628,InvoiceID,70351
792629,InvoiceID,70351
792630,InvoiceID,70351
792724,InvoiceID,70376
792725,InvoiceID,70376
792726,InvoiceID,70376
792727,InvoiceID,70376
793695,InvoiceID,70628
793696,InvoiceID,70628
793697,InvoiceID,70628
793698,InvoiceID,70628
794575,InvoiceID,70835
794576,InvoiceID,70835
794577,InvoiceID,70835
794578,InvoiceID,70835
795148,InvoiceID,70973
795149,InvoiceID,70973
795150,InvoiceID,70973
795213,InvoiceID,70992
795214,InvoiceID,70992
795215,InvoiceID,70992
795215,InvoiceID,70992
795216,InvoiceID,70992
795217,InvoiceID,70992
795218,InvoiceID,70992
795510,InvoiceID,71065
795511,InvoiceID,71065
795512,InvoiceID,71065
795513,InvoiceID,71065
795514,InvoiceID,71065
795896,InvoiceID,71154
795897,InvoiceID,71154
795898,InvoiceID,71154
796012,InvoiceID,71180
796013,InvoiceID,71180
